time,seconds_elapsed,z,y,x
1741199023836106500,0.0761064453125,-4.379032830348611,-1.1493524059534073,0.8715095703020691
1741199023846077400,0.086077392578125,-3.026615766352415,-1.2796499339491128,0.31451398544460535
1741199023856048600,0.096048583984375,-1.9617817185163497,-1.5659516781270504,0.1314350075930357
1741199023866019600,0.10601953125,-1.4242407757133244,-1.7498282360970974,-0.24718553932011125
1741199023875990300,0.115990234375,-1.2282605229735373,-1.769081218099594,-0.6681825349960476
1741199023885961500,0.12596142578125,-1.1000117442011832,-1.571823200508952,-1.093586898785457
1741199023895932400,0.135932373046875,-0.9705150111943482,-1.1070306830525398,-1.6084923044756054
1741199023905903600,0.145903564453125,-1.044110408759117,-0.5652110400170087,-1.9524676544651387
1741199023915874600,0.15587451171875,-1.242751989662647,-0.011432663640379905,-2.2729060615226624
1741199023925845500,0.165845458984375,-1.4962965426206587,0.5478893183380366,-2.6560768190860746
1741199023935816400,0.17581640625,-1.7402970221638678,0.9612398178488015,-2.8616081595033407
1741199023945787400,0.185787353515625,-1.8630407737791537,1.2440081272035837,-2.881178244630992
1741199023955758600,0.195758544921875,-1.8686510148763655,1.4813105704128742,-2.8987948576033116
1741199023965729500,0.2057294921875,-1.7372855653882027,1.6189187136828898,-2.996247516095638
1741199023975700500,0.215700439453125,-1.3397691793471573,1.5658388654023407,-3.0570608812376854
1741199023985671400,0.22567138671875,-0.7935551007449626,1.4826754290252924,-2.9938311026036737
1741199023995642400,0.235642333984375,-0.23277649021744726,1.4787006801754234,-2.911589457246661
1741199024005613600,0.245613525390625,0.23987492404580116,1.3269599666565657,-2.879168366113305
1741199024015584500,0.25558447265625,0.5269172574579716,1.1592220580607653,-2.742177477958798
1741199024025555500,0.265555419921875,0.6933452524989843,1.0160276390910148,-2.311813738196343
1741199024035526400,0.2755263671875,1.0107447302520274,0.9833557880669832,-1.8463672868758438
1741199024045497300,0.285497314453125,1.295099432015419,0.9628870005339384,-1.4907371549278496
1741199024055468500,0.295468505859375,1.5094208126097917,0.9414888231962919,-1.277946198771149
1741199024065439500,0.305439453125,1.576570102775097,0.9188046977013349,-0.8939956890068947
1741199024075410400,0.315410400390625,1.6071049417704344,0.9594681320011615,-0.5728622123572975
1741199024085380600,0.325380615234375,1.8975509461462496,1.1064783098667859,-0.39736846547033633
1741199024095351600,0.3353515625,2.262200250852108,1.2239017432421444,-0.1284612890118733
1741199024105322200,0.345322265625,2.7994793278485535,1.3092740878403186,0.1456234727475792
1741199024115293400,0.35529345703125,2.8173966773331163,1.2985802598685026,0.6369363328609615
1741199024125264400,0.365264404296875,3.19503522747159,1.3880834206610917,0.687032708351314
1741199024135235600,0.375235595703125,3.885110079997778,1.5957470969319343,0.5419765506302937
1741199024145206500,0.38520654296875,3.9270881040275096,1.586963486495614,0.6874625511359423
1741199024155177500,0.395177490234375,3.558227903628349,1.3327245215326546,0.8564875769328325
1741199024165148400,0.4051484375,2.6339959201812744,0.9672931265383958,1.0158759556606412
1741199024175119400,0.415119384765625,1.7612509628653525,0.7735106761038303,0.8756498119119555
1741199024185090600,0.425090576171875,1.0676549504756927,0.8378525076329708,0.6215867149725556
1741199024195061500,0.4350615234375,0.5035071557760238,0.8855284510433673,0.37893165868893264
1741199024205032700,0.44503271484375,0.20777707351744173,0.8504758423626423,0.3493788895335048
1741199024215003400,0.45500341796875,0.350488677406311,0.7465630479454993,0.3179255839863792
1741199024224974300,0.464974365234375,0.7146686110347509,0.5928074874728918,0.4137896215803921
1741199024234945500,0.474945556640625,1.1459867289125918,0.2983136690109968,0.8586565184697509
1741199024244916500,0.48491650390625,1.2067033556818962,-0.08568798641860484,1.2930379694409668
1741199024254887700,0.4948876953125,0.7280863110125064,-0.3059738283753395,1.55854812387228
1741199024264858400,0.5048583984375,-0.12627426382899284,-0.22636194700002668,1.3506909708559511
1741199024274829300,0.514829345703125,-1.261922554078698,-0.21985855645537375,1.0478721724454312
1741199024284800500,0.524800537109375,-1.902393710002303,-0.34897593475580213,1.1836644253998994
1741199024294771500,0.534771484375,-1.9500643927156924,-0.5387585018992423,1.4127650035835801
1741199024304742700,0.54474267578125,-1.6614830131679772,-0.8007862210422754,1.5989669357612728
1741199024314713600,0.554713623046875,-1.2717302468657492,-1.0915817695081234,1.6082304386690258
1741199024324684300,0.564684326171875,-0.9402619117498398,-1.4177426458656788,1.5674933546110987
1741199024334655500,0.574655517578125,-0.8823726173609495,-1.6371388455063103,1.3900612966053187
1741199024344626000,0.5846259765625,-1.3274275841683147,-1.7649211758106946,1.2527908608570695
1741199024354595800,0.594595947265625,-2.266024777576327,-1.8934739059656858,1.397512343263626
1741199024364566800,0.60456689453125,-2.7781138837367294,-1.7913211069583892,1.6101739739522336
1741199024374538000,0.6145380859375,-2.8106133008033036,-1.7023814252674578,1.8487020134337244
1741199024384509000,0.624509033203125,-2.7376912724554536,-1.6652029104739428,2.1547855857938525
1741199024394479900,0.63447998046875,-2.9671003320664164,-1.6857850952535867,2.2239827483996746
1741199024404450800,0.644450927734375,-3.232710001349449,-1.6208926441043614,1.9795361325241625
1741199024414421800,0.654421875,-3.387461002600193,-1.3416098387777804,1.2878234496630727
1741199024424393000,0.66439306640625,-3.5955326751500367,-1.093320722129941,0.7746285742178559
1741199024434364000,0.674364013671875,-3.8906817426502704,-0.891045753160119,0.5534507883900777
1741199024444335000,0.684335205078125,-4.031835595703125,-0.46637657177746294,0.4457342908410355
1741199024454305800,0.694305908203125,-3.486369120597839,0.18406945019364357,0.36369364794883874
1741199024464276700,0.70427685546875,-2.7357395538657903,0.7998223444461822,0.3926959070820361
1741199024474248000,0.714248046875,-1.959250154212117,1.4054296922594307,0.5400974223528057
1741199024484219000,0.724218994140625,-1.1782587669640778,1.9086872571885585,0.7529080330580472
1741199024494190000,0.734190185546875,-0.564669772747159,2.1715578568965195,1.017738753857836
1741199024504160800,0.744160888671875,-0.20280162319242953,2.305543133494258,1.297432258877158
1741199024514131700,0.754131591796875,-0.05665244607031345,2.349213348394632,1.5773384567990898
1741199024524103000,0.76410302734375,-0.2935989154487848,2.357570842373371,1.6099188301473855
1741199024534073900,0.774073974609375,-0.6465776561051607,2.4032144031733274,1.3716717995643615
1741199024544045000,0.784045166015625,-0.7141600769907236,2.418497312501073,1.0161495119050143
1741199024554016000,0.79401611328125,-0.5720639746516942,2.333702475529909,0.7332499773859977
1741199024563986700,0.803986572265625,-0.36852176222503186,2.1177543705165385,0.40510285911466926
1741199024573958000,0.8139580078125,-0.08080839768350125,1.8638339699834585,0.07370795456115156
1741199024583928800,0.8239287109375,0.3119382897377014,1.6395429840385913,-0.15629954586699604
1741199024593900000,0.833900146484375,0.6495230619072914,1.4338567453205584,-0.25292653065752235
1741199024603871000,0.84387109375,0.9823632698982954,1.3159247779011725,-0.2738735666941851
1741199024613841000,0.8538408203125,1.2943915760070084,1.2562106061726808,-0.33276294150371105
1741199024623811800,0.863811767578125,1.466784616932273,1.179487431976199,-0.20317016424387693
1741199024633782800,0.87378271484375,1.3995774590998886,1.1248252829402685,-0.09801639332231134
1741199024643754000,0.88375390625,0.9704413614362478,1.0337667093992233,0.18182382669132202
1741199024653725000,0.893724853515625,0.7167746434032917,1.1352543224960565,0.2864462306825444
1741199024663696000,0.90369580078125,0.6732090579211711,1.3564192853748798,0.020101780851557848
1741199024673667000,0.9136669921875,0.6014870530128479,1.4392834465444087,-0.15223828777745366
1741199024683637800,0.9236376953125,0.6898620865583419,1.38859020113945,-0.1657801621241495
1741199024693609000,0.93360888671875,0.8878238685041665,1.358289755421877,-0.1834628260700032
1741199024703580000,0.943579833984375,1.0217015930742024,1.2502099044531583,-0.16735891921557486
1741199024713550800,0.95355078125,1.2147820327192544,1.1104314314067363,0.046908868028037246
1741199024723522000,0.96352197265625,1.453266379189491,0.9961328520536422,0.19220910017061976
1741199024733492700,0.97349267578125,1.5504378826528786,0.9519085104018449,0.24102380181998012
1741199024743464000,0.9834638671875,1.5534849952638148,0.8982382950127125,0.29803766508121043
1741199024753435000,0.993434814453125,1.5359867479741574,0.8389601766139269,0.3703573801543563
1741199024763405800,1.00340576171875,1.5251187324792146,0.791288324856758,0.42457514642365274
1741199024773377000,1.013376953125,1.6422949130952358,0.7964373781830072,0.3186760004948824
1741199024783348000,1.023347900390625,1.6051128911703825,0.7349287242531776,0.2500080311286263
1741199024793319000,1.03331884765625,1.3414169465541839,0.5006120188564062,0.45236799323447047
1741199024803289900,1.043289794921875,1.0506763431459665,0.21941782695055007,0.6820993436023592
1741199024813260800,1.0532607421875,0.5774193642050027,-0.014262918630242347,0.7408297649905086
1741199024823232000,1.06323193359375,0.2416144611895084,-0.07118249120414256,0.44391193425208325
1741199024833203000,1.073202880859375,-0.045485155367851256,-0.15059855774641037,0.22399711756482718
1741199024843174000,1.083173828125,-0.2459861004024744,-0.39032442871034145,0.3658789195660502
1741199024853143800,1.093143798828125,-0.22404840936064718,-0.6632482203990221,0.5821725500814616
1741199024863114800,1.10311474609375,-0.05657061300575733,-0.8032488117635249,0.52860104582645
1741199024873086000,1.1130859375,0.06855448078811169,-1.1020558172494173,0.5422615415841341
1741199024883057000,1.123056884765625,0.25207506492733955,-1.3582196127951145,0.7094650510422885
1741199024893027800,1.13302783203125,0.48518473262190814,-1.6164999621033667,0.797933096633479
1741199024902999000,1.1429990234375,0.620731851708889,-1.7705647346556186,0.7666133178055285
1741199024912969700,1.1529697265625,0.6696119102120399,-1.789057253679633,0.5548372377797961
1741199024922941000,1.16294091796875,0.36931378938555715,-1.8225556186556815,0.30119760868316514
1741199024932911900,1.172911865234375,-0.19498539648354052,-2.017922707933187,0.4263798577580601
1741199024942882800,1.1828828125,-0.5554664755940437,-2.1989047135055064,0.6071254972912371
1741199024952854000,1.19285400390625,-0.6022288112908601,-2.3807570721715687,0.7527846989393234
1741199024962824700,1.20282470703125,-0.5738607949405908,-2.4763953747183085,1.0033676256127655
1741199024972796000,1.2127958984375,-0.9195698368549347,-2.4260867447167636,1.0625321275692432
1741199024982766800,1.222766845703125,-1.529723011404276,-2.168322528237104,0.5702606150241568
1741199024992737800,1.23273779296875,-1.963729929974675,-1.8939386008679866,0.11118225569715723
